"case_id","title","retest_days","success_metric","status"
"CASE001","Delayed Reply Anxiety","14","Observed behavior change and reduced recurrence","pending"
"CASE002","Unplanned Celebration Failure","30","Observed behavior change and reduced recurrence","pending"
"CASE003","Ex Boundary Ambiguity","60","Observed behavior change and reduced recurrence","pending"
"CASE004","Family Pressure Bypass","60","Observed behavior change and reduced recurrence","pending"
"CASE005","Gift Criticism Injury","30","Observed behavior change and reduced recurrence","pending"
"CASE006","Kitchen Help Failure","30","Observed behavior change and reduced recurrence","pending"
"CASE007","Household Burden Skew","30","Observed behavior change and reduced recurrence","pending"
"CASE008","Financial Secrecy","60","Observed behavior change and reduced recurrence","pending"
"CASE009","In-Law Triangulation","60","Observed behavior change and reduced recurrence","pending"
"CASE010","Affection Starvation","30","Observed behavior change and reduced recurrence","pending"
"CASE011","Postpartum Abandonment","90","Observed behavior change and reduced recurrence","pending"
"CASE012","Gifted Child Overload","30","Observed behavior change and reduced recurrence","pending"
"CASE013","Sibling Invisibility","30","Observed behavior change and reduced recurrence","pending"
"CASE014","Pet Care Capture","30","Observed behavior change and reduced recurrence","pending"
"CASE015","Elder Care Load Shift","30","Observed behavior change and reduced recurrence","pending"
"CASE016","Career Relocation Sacrifice","30","Observed behavior change and reduced recurrence","pending"
"CASE017","Unemployment Shame Spiral","30","Observed behavior change and reduced recurrence","pending"
"CASE018","Midlife Drift","30","Observed behavior change and reduced recurrence","pending"
"CASE019","Digital Escape Pattern","30","Observed behavior change and reduced recurrence","pending"
"CASE020","Emotional Affair Drift","90","Observed behavior change and reduced recurrence","pending"
"CASE021","Physical Affair","90","Observed behavior change and reduced recurrence","pending"
"CASE022","Repeated Contempt","90","Observed behavior change and reduced recurrence","pending"
"CASE023","Threat or Intimidation","0","Observed behavior change and reduced recurrence","pending"
"CASE024","Menopause Misread","30","Observed behavior change and reduced recurrence","pending"
"CASE025","Andropause Withdrawal","30","Observed behavior change and reduced recurrence","pending"
"CASE026","Health Crisis Support","14","Observed behavior change and reduced recurrence","pending"
"CASE027","Insurance Gap","30","Observed behavior change and reduced recurrence","pending"
"CASE028","Mortgage Overreach","30","Observed behavior change and reduced recurrence","pending"
"CASE029","Spending Spike Distress","30","Observed behavior change and reduced recurrence","pending"
"CASE030","Clutter Overload","14","Observed behavior change and reduced recurrence","pending"
"CASE031","No Shared Joy","30","Observed behavior change and reduced recurrence","pending"
"CASE032","Volunteering Burnout","30","Observed behavior change and reduced recurrence","pending"
"CASE033","Friend Distress Call Pileup","14","Observed behavior change and reduced recurrence","pending"
"CASE034","Neighbor Boundary Issue","14","Observed behavior change and reduced recurrence","pending"
"CASE035","College Planning Conflict","30","Observed behavior change and reduced recurrence","pending"
"CASE036","Child Launch Anxiety","14","Observed behavior change and reduced recurrence","pending"
"CASE037","New Partner Entry","14","Observed behavior change and reduced recurrence","pending"
"CASE038","Predecessor Shadow","30","Observed behavior change and reduced recurrence","pending"
"CASE039","Widowhood Companion Readiness","14","Observed behavior change and reduced recurrence","pending"
"CASE040","Divorce Recovery Budget","30","Observed behavior change and reduced recurrence","pending"
"CASE041","War Displacement Shock","90","Observed behavior change and reduced recurrence","pending"
"CASE042","Business Side Gig Risk","30","Observed behavior change and reduced recurrence","pending"
"CASE043","Reverse Aging Reset","14","Observed behavior change and reduced recurrence","pending"
"CASE044","Spiritual Misalignment","30","Observed behavior change and reduced recurrence","pending"
"CASE045","Retirement Identity Loss","30","Observed behavior change and reduced recurrence","pending"
"CASE046","Cognitive Decline Planning","60","Observed behavior change and reduced recurrence","pending"
"CASE047","Inheritance Conflict","60","Observed behavior change and reduced recurrence","pending"
"CASE048","Grandchild Boundary","14","Observed behavior change and reduced recurrence","pending"
"CASE049","End of Life Wishes","14","Observed behavior change and reduced recurrence","pending"
"CASE050","Ancestral Wisdom Transfer","14","Observed behavior change and reduced recurrence","pending"
